Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,6.940000,6.980000,6.830000,6.850000,6.682776,8724659
2019-11-15,6.800000,6.840000,6.720000,6.780000,6.614485,12130520
2019-11-18,6.860000,6.995000,6.840000,6.980000,6.809602,15181249
2019-11-19,6.930000,7.150000,6.920000,7.130000,6.955941,13143315
2019-11-20,7.100000,7.220000,7.060000,7.210000,7.033988,14969431
2019-11-21,7.180000,7.190000,6.970000,7.030000,6.858382,14299215
2019-11-22,7.080000,7.165000,7.070000,7.140000,6.965696,11265810
2019-11-25,7.050000,7.280000,7.050000,7.280000,7.102279,15865651
2019-11-26,7.370000,7.420000,7.230000,7.230000,7.053499,99644805
2019-11-27,7.190000,7.240000,7.130000,7.230000,7.053499,8068959
2019-11-28,7.260000,7.340000,7.235000,7.340000,7.160814,7571419
2019-11-29,7.340000,7.350000,7.290000,7.300000,7.121790,7715743
2019-12-02,7.360000,7.380000,7.290000,7.320000,7.141302,5329934
2019-12-03,7.230000,7.300000,7.210000,7.250000,7.073011,6767918
2019-12-04,7.140000,7.215000,7.030000,7.110000,6.936429,6766358
2019-12-05,7.200000,7.220000,7.090000,7.160000,6.985208,6007031
2019-12-06,7.250000,7.260000,7.080000,7.140000,6.965696,8806284
2019-12-09,7.160000,7.275000,7.100000,7.250000,7.073011,5696078
2019-12-10,7.260000,7.415000,7.220000,7.320000,7.141302,6868705
2019-12-11,7.280000,7.330000,7.230000,7.310000,7.131546,7321380
2019-12-12,7.350000,7.360000,7.235000,7.270000,7.092523,7579515
2019-12-13,7.270000,7.330000,7.260000,7.280000,7.102279,6802330
2019-12-16,7.330000,7.410000,7.280000,7.370000,7.190082,9488625
2019-12-17,7.370000,7.385000,7.255000,7.280000,7.102279,5631602
2019-12-18,7.280000,7.360000,7.260000,7.320000,7.141302,8746824
2019-12-19,7.400000,7.430000,7.320000,7.400000,7.219349,8004832
2019-12-20,7.400000,7.460000,7.340000,7.350000,7.170570,6172844
2019-12-23,7.350000,7.410000,7.310000,7.390000,7.209593,4896457
2019-12-24,7.350000,7.390000,7.290000,7.330000,7.151058,1975354
2019-12-27,7.310000,7.400000,7.310000,7.340000,7.160814,3229744
2019-12-30,7.330000,7.355000,7.280000,7.320000,7.141302,2429392
2019-12-31,7.260000,7.290000,7.110000,7.110000,6.936429,2587870
